num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
10,2,5,46,0.39531956800504553,0.5900967663659024,0.00015716195,1.8561085
100,2,5,46,0.0031788996776171505,0.005306464224362595,0.0066085733,0.004504301
1000,2,5,46,0.0004628670852288012,0.0008083185322506781,0.0008249435,0.0006182154
10000,2,5,46,7.443691253855087e-05,0.0001521471897969473,0.00077528757,0.00058145705
10,2,10,141,0.017402973258322345,0.023908972740173586,0.00078971754,0.033548843
100,2,10,141,0.00031756414671922466,0.00042124680339361564,9.770849e-05,8.880819e-05
1000,2,10,141,5.710766026452968e-05,8.948838065264697e-05,8.097073e-05,7.0007016e-05
10000,2,10,141,4.7852180202195315e-06,1.2455757881668639e-05,7.251744e-05,6.24081e-05
10,2,20,481,0.03472488567134718,0.04712168872356439,0.00095186586,0.067874745
100,2,20,481,0.0003409116079710398,0.0005833110650156695,3.2995715e-05,5.7369427e-05
1000,2,20,481,4.539364964926086e-06,9.343024516189624e-06,1.1047166e-05,9.00166e-06
10000,2,20,481,4.299030640138764e-05,7.539435662040628e-05,1.6147802e-05,1.205898e-05
10,4,5,106,2.103246051041429,3.3996398448944087,2.0193312,27.441181
100,4,5,106,0.0006319855834650171,0.0010339343778864984,3.5617486e-05,5.403919e-05
1000,4,5,106,8.171363278244295e-05,0.00011935496380133248,3.8005117e-05,2.7362903e-05
10000,4,5,106,1.5198302439634012e-05,3.3738563576551917e-05,3.8462375e-05,3.0042003e-05
10,4,10,361,0.030765370867939283,0.051734969019890074,2.6857198e-05,0.36127797
100,4,10,361,0.00013181888893761708,0.00029036402702331543,4.838146e-05,3.9784758e-05
1000,4,10,361,5.114915714163482e-05,9.395717249634228e-05,3.2329986e-05,2.0844996e-05
10000,4,10,361,4.4287750118563386e-05,6.54949431643237e-05,3.2031956e-05,2.5917454e-05
10,4,20,1321,0.17702493443647963,0.25204405859209555,0.00044868366,2.575847
100,4,20,1321,0.0003578502949062592,0.0005203453303301436,7.585718e-05,5.749567e-05
1000,4,20,1321,0.00010723384458634721,0.00018584728240942305,7.507942e-05,5.6688095e-05
10000,4,20,1321,7.596033181145755e-05,0.00010855852510963104,4.8626054e-05,3.6441244e-05
