seed,num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
0,10,2,20,481,0.2587306089209793,0.27990823114590224,1.4940902e-07,15.915344
1,10,2,20,481,3.1443565647472904,4.874679088592529,2.3134276e-06,167.54657
2,10,2,20,481,5.013981936981254,7.5128865242004395,3.001218e-06,315.49802
3,10,2,20,481,0.0005868415614365462,0.0016296857462954756,6.3930056e-06,0.0050683445
4,10,2,20,481,0.06178071144539108,0.08718837969748568,4.083141e-07,0.09246343
0,20,2,20,481,0.015596779262709663,0.0171952149708842,9.46002e-06,0.029721396
1,20,2,20,481,0.022022530576259403,0.039763225787140574,2.1122525e-05,0.06463164
2,20,2,20,481,4.568115905681968,7.414951801300049,0.025392914,555.0433
3,20,2,20,481,0.002204555140108443,0.005467931353308404,2.4684856e-05,0.01182529
4,20,2,20,481,0.0011520287192933298,0.0018706813903280883,4.698663e-05,0.00013729621
0,40,2,20,481,0.0003606742706125768,0.0005145906155520352,2.9940682e-05,0.00068386196
1,40,2,20,481,0.0003139506841083369,0.0004480078173683122,1.3681098e-05,3.5474986e-05
2,40,2,20,481,5.422192086813625,8.97607421875,0.003762896,1001.45734
3,40,2,20,481,0.0001679971227578963,0.00023241670003892878,1.4822984e-05,2.0815485e-05
4,40,2,20,481,0.0005523881260335654,0.0006868763297899205,2.8250603e-05,8.692011e-05
0,80,2,20,481,0.00019737385875455893,0.000306636095047242,1.7174354e-05,1.5241644e-05
1,80,2,20,481,0.00040963310864234324,0.0005682361957733001,3.3546778e-05,4.6803714e-05
2,80,2,20,481,0.00012208758784974707,0.00019082791500769913,7.780142e-06,1.30099015e-05
3,80,2,20,481,0.000569146894166047,0.0008267377070072524,2.421427e-05,4.4754408e-05
4,80,2,20,481,0.0002692941817099789,0.00032696259513154136,1.3235123e-05,2.3990762e-05
0,160,2,20,481,3.230914669080807e-05,3.9881172832156864e-05,7.3552733e-06,6.1526284e-06
1,160,2,20,481,0.00034408422325878487,0.00045257806422718816,2.5260357e-05,2.151073e-05
2,160,2,20,481,3.6938177645826805e-05,6.483333469498032e-05,2.4159477e-05,2.2947888e-05
3,160,2,20,481,0.00015856889146885077,0.0002268267919088851,9.732429e-06,1.1275457e-05
4,160,2,20,481,8.357985432906373e-05,0.00011711750218982436,1.4449584e-05,1.6814065e-05
0,320,2,20,481,0.0001186742177853269,0.0002110001991862398,3.2234762e-05,2.64458e-05
1,320,2,20,481,0.0001535558663852665,0.00019359816217390247,2.6635065e-05,1.7049982e-05
2,320,2,20,481,8.232170095840192e-05,0.00011678877244064578,2.7284805e-05,2.4801106e-05
3,320,2,20,481,0.000117882346263252,0.00016719861320080298,6.734211e-06,6.021736e-06
4,320,2,20,481,6.920735071834705e-05,9.448263833636977e-05,3.5970006e-06,2.893528e-06
0,640,2,20,481,9.064704552129176e-05,0.0001304407405289254,5.639095e-05,4.5724544e-05
1,640,2,20,481,3.0022891211480056e-05,4.2540998397427865e-05,1.7916227e-05,1.1095621e-05
2,640,2,20,481,1.2676259637550297e-05,3.0114143299397877e-05,2.3487364e-05,2.1084228e-05
3,640,2,20,481,0.00013098159322722175,0.00019242553149340091,9.291265e-06,7.3924434e-06
4,640,2,20,481,2.1808337914391874e-05,5.3837895393126654e-05,2.7497063e-06,1.8859366e-06
0,10,4,10,361,0.6599726380617064,0.7171515489046635,2.5077768e-06,71.350494
1,10,4,10,361,0.5213162138253675,0.8474231562930776,7.0461397e-06,10.553924
2,10,4,10,361,0.8524826949264319,1.2310305509960262,0.00020817154,64.57976
3,10,4,10,361,0.020128716839992705,0.033232318667726315,1.5050774e-07,0.024023456
4,10,4,10,361,0.058049737602149154,0.08474219819720248,2.3950443e-07,0.5834948
0,20,4,10,361,0.618964267688199,0.6741259165245255,1.4209407e-05,57.27296
1,20,4,10,361,0.008336393764004017,0.012286397615743572,3.838352e-06,0.00908729
2,20,4,10,361,1.942198435762682,3.2187609672546382,2.5862886e-05,133.01823
3,20,4,10,361,0.0031749456722866567,0.008309238203622544,3.6936442e-05,0.029238846
4,20,4,10,361,0.013303014045137814,0.015890741757654002,5.128795e-05,0.012226921
0,40,4,10,361,0.0008504208036693874,0.0013367674277788844,0.00011394275,0.00074799283
1,40,4,10,361,0.0009281151254789361,0.0012374003896211683,1.4650145e-05,0.00013091743
2,40,4,10,361,2.940538437676099,4.874661922454834,9.071001e-05,317.46292
3,40,4,10,361,4.823221412397402e-05,8.255249377009388e-05,1.21389485e-05,2.017998e-05
4,40,4,10,361,0.0041324230786446035,0.004784614951206023,9.0749534e-05,0.0020711082
0,80,4,10,361,0.0001265953024314697,0.000174089534874744,2.1737767e-05,2.2756096e-05
1,80,4,10,361,0.00030011995867871677,0.00041669847891494076,2.6674526e-05,3.3302436e-05
2,80,4,10,361,0.0008629989301391301,0.001265323908105076,4.536152e-05,9.325068e-05
3,80,4,10,361,0.00068363342058887,0.0009873126200321547,3.154062e-05,5.8464055e-05
