num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2_median,err_l2_mean,err_l2_min,err_l2_max,err_inf_median,err_inf_mean,err_inf_min,err_inf_max,loss_train_median,loss_train_mean,loss_train_min,loss_train_max,loss_test_median,loss_test_mean,loss_test_min,loss_test_max
10,2,20,481,0.4554874562365112,1.6384548786704127,0.0213308272312635,4.759099973587063,0.49946899225652,2.449433290722545,0.0277580354208729,7.138546384461664,0.0030908075,0.030632067694,0.00028216917,0.14544131,37.12585,92.86114346800001,0.05949186,301.40176
10,4,10,361,0.3969659091247241,0.3396006567603177,0.0030396287107105,0.6766625719313825,0.6297410678571672,0.48757398726515755,0.0064922571182253,0.7908822298049927,0.001107284,0.398464831668,0.00070656,1.9376713,11.902245,31.783890509600003,0.025918018,73.86265
10,4,20,1321,0.6078338251868186,0.7293322823051998,0.2861763022246129,1.435528260778135,0.7258457791929105,1.0115288458171419,0.4852512681922603,2.043261051177978,6.276335e-05,0.00021883159312799998,4.8672604e-07,0.00088547403,50.915394,51.5466962,10.521557,83.5669
20,2,20,481,0.0109675856293768,0.7952942033080748,0.002710508066869,3.9203737775747305,0.0181475795830383,1.301790205972639,0.0034964680671694,6.411194801330566,0.019297354,3.8702751160519995,0.00051386526,19.305754,0.13699466,7.90010602854,0.0025196227,38.98871
20,4,10,361,0.373885262975416,0.4591696640122742,0.0134883151586188,1.0720230238496242,0.5213701128959654,0.7512596582554487,0.0239566043019297,2.2735316753387447,0.0037707442,0.354000643,0.0013318283,1.7299882,0.57117623,12.3685889956,0.021884032,57.46404
20,4,20,1321,0.317614838820851,0.36154622094060174,0.0281906688670043,0.6835225293217135,0.384367303215296,0.5358417080298155,0.0311209700034624,1.1068866252899168,0.00042722348,0.000576282862,9.582408e-05,0.0011168554,5.7604647,6.321100526,0.11434293,12.892604
40,2,20,481,0.0034211356680777,0.8146851177202479,0.0020890911977812,4.059080464677025,0.0048655165217892,1.342110309933521,0.0026881898438635,6.689069271087647,0.0019203251,3.7324917083100004,0.00059020345,18.655823,0.002671718,13.240766835108,0.00058230554,66.19402
40,4,10,361,0.0120134899669942,0.14137616110445925,0.0053626564955394,0.6690166853195635,0.0139239361442102,0.30763742695825397,0.0069334157388971,1.489713907241821,0.0023393591,0.79415984186,0.0008211583,3.9625356,0.011829861,1.3419205564,0.0020386665,6.6649766
40,4,20,1321,0.0068494873010276,0.18767398803159216,0.0002917839793477,0.9052289132335836,0.0080904041536372,0.305385835518312,0.0005830526351928,1.4880328675873502,0.00022700234,0.0012603203264,5.2649582e-05,0.004430535,0.004183175,5.049542332092001,0.00018199917,25.238747
80,2,20,481,0.0030962069754145,0.76337245907348,0.000706020606516,3.804564571260063,0.0048605749254789,1.2320243540948974,0.0013371471325764,6.142092227935791,0.0021785998,2.95755433418,0.0016912896,14.779774,0.0019389134,5.26814590548,0.0013940415,26.332891
80,4,10,361,0.0026399170720185,0.00266534366963802,0.0009964607583571,0.0036142667810993,0.0033932780282815,0.0037682319238242596,0.0018994775488428,0.0052814036607744,0.0009987372,0.00132095052,0.0005582498,0.0030635323,0.0016259518,0.002200369608,0.00069681904,0.006308502
80,4,20,1321,0.001544403422542,0.0014443066595889401,0.0002801003848224,0.0029794851294213,0.0022986084222791,0.0021919128770006803,0.0003883901429804,0.0045943807276421,0.0003667203,0.00045634919999999995,0.0003287753,0.00080185157,0.0006920202,0.000675909502,0.00037020136,0.00089472195
160,2,20,481,0.0022900371631956,0.00234204381785814,0.0003526657406989,0.0045205014942219,0.0031107040172461,0.00339567275917074,0.0005619227886202,0.0066878980293515,0.0018546763,0.002956879714,0.00086678227,0.005243172,0.0021586358,0.0025844215800000002,0.000708745,0.0045406413
160,4,10,361,0.001607123665814,0.0016823851097054001,0.000268477197464,0.0025757170405262,0.0021799206733701,0.0021986627827274598,0.0003999652861634,0.0034202365934279,0.001100254,0.00107742568,0.0001120376,0.002101562,0.0011497721,0.00102019481,0.0001193076,0.0015793118
160,4,20,1321,0.0004447776657604,0.00038108105842789357,4.818551271116293e-05,0.000790566924225,0.000654498246135,0.0005833494373435037,9.190543691461885e-05,0.0012211227031645,0.00030086355,0.000284346626,0.0001975523,0.0003567368,0.00026657776,0.00028716325199999997,0.00020960114,0.0004119844
320,2,20,481,0.0015620028902268,0.001164384833387603,5.483872293331452e-05,0.0019378252354378,0.0023182574291002,0.0017401739535811201,0.0001347265559866,0.0028077661991121,0.0016041354,0.00228019176,0.000697394,0.0052448497,0.0011662103,0.0018260440660000001,0.00057750003,0.00447806
320,4,10,361,0.0011636934622145,0.0016194062211073,0.0004968672117142,0.0032583678528642,0.0014675412280646,0.00209810982939726,0.0008025643479392,0.003453025663268,0.0013700576,0.00161514339,0.00034073045,0.0028324442,0.0011753854,0.0014296218360000002,0.00030224948,0.0024263111
320,4,20,1321,0.0004194488663456,0.00035270821943916,0.0001522523564574,0.0004667988825844,0.0005803627298439,0.00051809862971424,0.0002806043484916,0.0006528464846851,0.0005075545,0.0005394962879999999,0.00034329787,0.0008206386,0.00049424137,0.000450115642,0.00029635738,0.0005326942
640,2,20,481,0.0002841688868282,0.00029918072036126,0.0002154451640333,0.0003804110115073,0.0005156073310252,0.00052856769868626,0.0003418866176378,0.0008034082445981,0.001793182,0.00312072016,0.0005221776,0.0070286794,0.0014067336,0.002616912672,0.0003908907,0.0059083807
640,4,10,361,0.0011275392427568,0.0013167386344792443,9.285695691352144e-05,0.0036709215602137,0.0015580515757569,0.0016498334904886402,0.0001706955638055,0.0041932761669156,0.00090986973,0.0017894614739999998,4.722017e-05,0.00469644,0.0007510558,0.0015415841514,4.2017597e-05,0.0041519217
640,4,20,1321,0.0002678187793617,0.00026081942801956003,0.0001043783363866,0.0004574354037929,0.000467909238274,0.00041729521699212,0.0002157441693975,0.0005630952694253,0.00050495303,0.000560312922,0.00011079632,0.0009990326,0.00035801754,0.00043721014920000006,9.0283706e-05,0.0008061147
