num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2,err_inf,loss_train,loss_test
10,2,5,46,3.5126228219977307,5.792847633361816,11.430771,12.933999
100,2,5,46,3.5035771443049644,5.774304389953613,8.680153,8.749019
1000,2,5,46,3.504326458226913,5.7778778076171875,8.685714,8.695842
10000,2,5,46,3.504346957112471,5.777952194213867,8.691428,8.6966915
10,2,10,141,0.005062031733872907,0.00799394955492895,0.00024050365,0.002505017
100,2,10,141,9.056950002087901e-05,0.00015565752627857976,2.2496408e-05,1.7417722e-05
1000,2,10,141,1.5629165197484705e-05,2.706989086875833e-05,1.9710249e-05,1.4585954e-05
10000,2,10,141,1.13978035418656e-05,2.0492662453630572e-05,1.9276697e-05,1.4120588e-05
10,2,20,481,0.005788454387736825,0.01000643762276336,0.00032446423,0.004665217
100,2,20,481,2.8866996916470762e-05,4.412590410743378e-05,1.5159739e-05,1.2116679e-05
1000,2,20,481,2.6972295621198662e-06,5.960403721139151e-06,1.7662449e-05,1.3652595e-05
10000,2,20,481,6.19233016611995e-06,1.0520629145333027e-05,1.9166424e-05,1.4906093e-05
10,4,5,106,2.678173881277342,5.110386848449707,1.9548138,1.6219189
100,4,5,106,5.1333388502697946e-05,8.594989776635822e-05,3.3178523e-05,2.7731543e-05
1000,4,5,106,3.2613022649099204e-05,6.559490802296453e-05,2.7489226e-05,2.3087841e-05
10000,4,5,106,2.829593949510409e-05,5.146046193663101e-05,2.6065372e-05,2.1791104e-05
10,4,10,361,0.00500091589733079,0.008390406858279909,0.0002921561,0.009573525
100,4,10,361,4.033982088281806e-05,7.56554644035512e-05,5.066688e-05,4.549601e-05
1000,4,10,361,4.463114620378168e-06,8.566383654762255e-06,4.7263336e-05,4.1438976e-05
10000,4,10,361,1.9203121136212398e-05,4.177064012694798e-05,4.8469912e-05,4.239417e-05
10,4,20,1321,0.01322205178023314,0.021262267567611882,1.7726198e-07,0.3669906
100,4,20,1321,9.331501927989208e-05,0.00013756259481256805,6.402896e-05,5.2257656e-05
1000,4,20,1321,2.8585398221918892e-05,4.18824191562861e-05,5.0136012e-05,3.8124632e-05
10000,4,20,1321,7.427027335342123e-05,0.00018835067749023438,5.7482383e-05,4.0842053e-05
