num_colloc,num_layers,neurons_per_layer,num_trainable_params,err_l2_median,err_l2_mean,err_l2_min,err_l2_max,err_inf_median,err_inf_mean,err_inf_min,err_inf_max,loss_train_median,loss_train_mean,loss_train_min,loss_train_max,loss_test_median,loss_test_mean,loss_test_min,loss_test_max
10,2,20,481,0.006398902980278,0.00556223607455654,0.0036135198178686,0.0075259461839607,0.0107351145585154,0.00958267159802836,0.0062862986193728,0.0127923587195651,2.162095e-05,4.20466714e-05,1.108646e-05,0.00013449935,0.0063738227,0.015484043999999999,0.0019599495,0.053643357
10,4,10,361,0.106337364813773,0.5360759922630414,0.00684029491634,1.6876458177455105,0.1368427872657773,0.8617837090612455,0.0111108518247829,2.9166047573089595,0.0036554635,0.381916078654,0.0002485659,1.7591954,0.04266346,0.41780998189999996,0.0054390775,1.761641
10,4,20,1321,0.0276354118665453,0.0998201960485453,0.0067991154839683,0.262551509895329,0.0288302843585913,0.13004117690365172,0.0110367483501659,0.3381547629833219,0.00038193003,0.00239035962,0.00017905894,0.008235477,0.020764112,0.2128412372,0.009572899,0.97470456
20,2,20,481,0.0002912424113935,0.00036756927010208,0.0002197770961899,0.0007010710576089,0.0005026260249392,0.0006226170897094599,0.0003450196013538,0.0012055598199369,1.3588914e-05,2.4319131120000002e-05,1.8899776e-06,7.477479e-05,4.780209e-05,7.03538259e-05,1.22539095e-05,0.00020243406
20,4,10,361,0.0001621211237067,0.0001863157604416711,2.6595762159704803e-05,0.0003480672429503,0.0002370849484369,0.00031073582416846625,4.125596417663136e-05,0.0005936152179812,1.0044218e-05,9.14941934e-06,3.943807e-06,1.4663455e-05,3.5451936e-05,4.2804327999999996e-05,1.4230577e-05,8.3219194e-05
20,4,20,1321,0.000341402969917,0.0003171523561171,0.000153427409389,0.0004574228446438,0.0004740455977694,0.00051928545351182,0.0002642967384622,0.0007906952731387,1.0217132e-05,9.606412260000002e-06,2.747361e-06,1.7144874e-05,5.6491146e-05,5.81255856e-05,3.5656776e-05,8.97594e-05
40,2,20,481,7.584472410575444e-05,0.00014413561816751527,6.973695579835771e-05,0.0003846795853615,0.0001252242537436,0.00024461216036656,0.0001127520434634,0.0006916243582966,1.2709222e-05,3.9839055679999995e-05,4.083549e-06,0.00016493889,1.2931123e-05,3.6930952440000004e-05,3.9810147e-06,0.00014936646
40,4,10,361,8.263796307397302e-05,8.620861694240931e-05,1.7016760603650434e-05,0.0001282014206107,0.000146123193957,0.00015060802111875238,3.728270530676191e-05,0.0002249926328661,1.7220658e-05,2.27398362e-05,1.3726212e-05,3.9011466e-05,1.8645484e-05,2.36914008e-05,1.4613157e-05,3.8982347e-05
40,4,20,1321,8.829028399294103e-05,9.680878139369472e-05,6.792612438692844e-05,0.0001413927885984,0.0001228522940004,0.00015950212907506,0.0001150202374685,0.0002383092276827,1.6674792e-05,1.68093106e-05,9.247805e-06,2.7141718e-05,1.7806879e-05,1.8219856199999998e-05,1.0813616e-05,2.8659462e-05
80,2,20,481,4.883693738018086e-05,0.00010082472894471866,4.035754429035347e-05,0.0002853248568492,8.602330009871428e-05,0.0001733894564938547,6.968785460254034e-05,0.0004908070200845,1.3998184e-05,4.342692166e-05,4.981773e-06,0.00017572903,1.17002355e-05,3.312211684e-05,4.0912787e-06,0.00013133977
80,4,10,361,7.309225471554394e-05,6.014924963065558e-05,7.834744289477957e-06,9.927237162492394e-05,0.0001057871491364,0.0001003214447576705,1.8570065406550703e-05,0.0001742045992161,2.5520152e-05,2.9287051e-05,1.4882158e-05,5.4161763e-05,2.0785998e-05,2.4804338600000003e-05,1.1855305e-05,4.5268203e-05
80,4,20,1321,4.302534650280655e-05,4.3086796006082535e-05,2.618093438899296e-05,6.943146102412501e-05,6.582353907572808e-05,6.948296860534033e-05,4.478334055664501e-05,0.0001139210983951,9.800498e-06,1.16423084e-05,5.354537e-06,2.3667184e-05,8.493482e-06,9.78635672e-06,4.5570896e-06,1.9176665e-05
160,2,20,481,3.4490132430502006e-05,6.908837150043286e-05,2.708127120199248e-05,0.0002029359198292,5.91259226886548e-05,0.00011735097135336826,4.851629591863527e-05,0.0003430348868839,1.6665828e-05,4.6875020680000004e-05,5.6490244e-06,0.00018857469,1.3132582e-05,3.4067623799999995e-05,4.341337e-06,0.00013420258
160,4,10,361,4.521735548698364e-05,3.634875178436328e-05,2.857290102865779e-06,6.367176652547968e-05,7.00492552989096e-05,5.8865045184641754e-05,7.386975458489875e-06,9.623169543751532e-05,2.2031569e-05,2.74055989e-05,1.3968895e-05,5.4849254e-05,1.7006672e-05,2.22548074e-05,1.0750603e-05,4.4386285e-05
160,4,20,1321,3.274946211448542e-05,3.776932668698908e-05,1.3316140426165858e-05,5.6213319551883766e-05,6.935974772433271e-05,6.846147794435948e-05,2.3208581821615448e-05,9.792555506488164e-05,1.1525729e-05,1.3878557799999998e-05,5.795866e-06,2.6288959e-05,9.510742e-06,1.0960622539999999e-05,4.656755e-06,2.0676493e-05
320,2,20,481,2.4644002352130853e-05,4.5984252902766294e-05,1.513264249528014e-05,0.0001394209793,4.05279398882491e-05,7.764585870939441e-05,2.5938045337403622e-05,0.000234543491449,1.6316775e-05,5.031243906e-05,5.6652843e-06,0.00020254512,1.2666428e-05,3.668943286e-05,4.237409e-06,0.00014512026
320,4,10,361,2.803923607923421e-05,2.331882142755493e-05,6.110247684577124e-06,3.764829599355941e-05,3.999502707530134e-05,3.9842964579703263e-05,1.2628909965561874e-05,6.803382571002325e-05,2.0343869e-05,2.59084682e-05,1.1945712e-05,5.51988e-05,1.5159728e-05,2.07400978e-05,1.0211928e-05,4.465816e-05
320,4,20,1321,2.1952991904062385e-05,2.135148305554694e-05,9.367127663969308e-06,3.3287282602076135e-05,4.0123950793946594e-05,3.833472941446054e-05,1.649787838915815e-05,5.9569966151917786e-05,1.0834272e-05,1.344665932e-05,5.6767326e-06,2.2647828e-05,8.74807e-06,1.029211876e-05,4.432854e-06,1.7107137e-05
640,2,20,481,1.5381890298331125e-05,3.116746172892483e-05,8.86946207436857e-06,9.804940693749608e-05,2.796470937727058e-05,5.479978632513463e-05,1.2670834980965662e-05,0.000166607120979,1.5904747e-05,5.1708607500000006e-05,5.6870385e-06,0.00020539104,1.2333179e-05,3.8160204e-05,4.223746e-06,0.0001488069
