problem,seed,level,num_domain,num_boundary,total_error
mono,0,1,10,4,0.5867585781823315
mono,1,1,10,4,0.5449310467211526
mono,2,1,10,4,0.6146592357387483
mono,3,1,10,4,0.5533640667085182
mono,4,1,10,4,0.5435110085371156
mono,0,2,80,16,0.0654764498421466
mono,1,2,80,16,0.07454241442051539
mono,2,2,80,16,0.10246534751117986
mono,3,2,80,16,0.10444379800108469
mono,4,2,80,16,0.06875539468290462
mono,0,4,640,64,0.03527947170926045
mono,1,4,640,64,0.03367557921060705
mono,2,4,640,64,0.030905300186387066
mono,3,4,640,64,0.05486539328153437
mono,4,4,640,64,0.03795784367734777
mono,0,8,5120,256,0.03834615402570041
mono,1,8,5120,256,0.035344175554174656
mono,2,8,5120,256,0.029619951318938822
mono,3,8,5120,256,0.03730038630389623
mono,4,8,5120,256,0.036923217973448816
heat,0,1,10,4,0.0921905947555539
heat,1,1,10,4,0.13518318110812802
heat,2,1,10,4,0.06444200178322759
heat,3,1,10,4,0.10850006105651468
heat,4,1,10,4,0.07123827195013295
heat,0,2,80,16,0.01262347492183687
heat,1,2,80,16,0.011325889019819974
heat,2,2,80,16,0.010562122134121681
heat,3,2,80,16,0.013582902617060848
heat,4,2,80,16,0.009652670423817448
heat,0,4,640,64,0.0049617499950738355
heat,1,4,640,64,0.004274340170956906
heat,2,4,640,64,0.0018822393905015048
heat,3,4,640,64,0.0026877674124599128
heat,4,4,640,64,0.0031518930892146945
heat,0,8,5120,256,0.0032676255351333405
heat,1,8,5120,256,0.004722474886622751
heat,2,8,5120,256,0.0019386896152692888
heat,3,8,5120,256,0.0030091483594293406
heat,4,8,5120,256,0.00407805288553425
